									Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count	Exclusive Unique Peptide Count
1657	true	Empty	Galactokinase OS=Dictyostelium discoideum GN=galK PE=3 SV=1	sp|Q54DN6|GALK_DICDI		56 kDa		unknown	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0
1658	true	Empty	Ras-related protein Rab-5A OS=Dictyostelium discoideum GN=rab5A PE=3 SV=1	sp|Q86JP3|RAB5A_DICDI		22 kDa	true	unknown	0	0	0	0	0	2	0	0	0	1	2	0	0	0	1	2
1659	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268264 PE=4 SV=1	tr|Q55GV2|Q55GV2_DICDI		18 kDa		unknown	0	0	0	0	1	2	0	0	0	0	0	1	3	0	3	1
1660	true	Empty	ABC transporter F family member 2 OS=Dictyostelium discoideum GN=abcF2 PE=3 SV=1	sp|Q8T6B7|ABCF2_DICDI		67 kDa		unknown	0	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0
1661	true	Empty	Cytoplasmic dynein 1 light intermediate chain 1 OS=Dictyostelium discoideum GN=dync1li1 PE=3 SV=1	sp|Q54CI8|DC1L1_DICDI		57 kDa		unknown	0	1	0	0	1	0	0	0	0	2	0	3	1	0	0	0
1662	true	Empty	Translocon-associated protein subunit gamma OS=Dictyostelium discoideum GN=ssr3 PE=3 SV=1	sp|Q55GT5|SSRG_DICDI		19 kDa		unknown	2	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1663	true	Empty	Protein ydgH precursor.	sp|P76177|YDGH_ECOLI		34 kDa	true	unknown	0	0	0	1	0	0	0	0	0	0	3	0	0	1	1	1
1664	true	Empty	CDK5RAP1-like protein OS=Dictyostelium discoideum GN=cdk5rap1 PE=3 SV=1	rsp|Q54KV4|CK5P1_DICDI		?	true	unknown	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0
1665	true	Empty	Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168392 PE=4 SV=1	tr|Q86AE2|Q86AE2_DICDI		66 kDa	true	unknown	1	1	0	0	1	0	5	0	0	0	0	0	0	0	0	4
1666	true	Empty	Acetyl-coenzyme A synthetase OS=Dictyostelium discoideum GN=acsA PE=3 SV=1	sp|Q54Z60|ACSA_DICDI		76 kDa		unknown	0	0	1	0	0	1	0	1	0	2	3	0	0	0	0	3
1667	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202316 PE=4 SV=1	tr|Q55EU1|Q55EU1_DICDI		46 kDa		unknown	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0
1668	true	Empty	Citrate synthase (EC 2.3.3.1).	sp|P0ABH7|CISY_ECOLI		48 kDa		unknown	0	0	0	1	0	1	0	0	0	0	3	2	0	4	1	0
1669	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216102 PE=4 SV=1	tr|Q54HI5|Q54HI5_DICDI		81 kDa	true	unknown	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2
1670	true	Empty	Putative uncharacterized protein mipA OS=Dictyostelium discoideum GN=mipA PE=4 SV=1	tr|Q54CK5|Q54CK5_DICDI		157 kDa	true	unknown	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1671	true	Empty	Mevalonate kinase OS=Dictyostelium discoideum GN=mvk PE=3 SV=1	sp|Q86AG7|KIME_DICDI		43 kDa	true	unknown	0	1	0	0	0	2	0	0	0	0	2	2	0	0	1	0
1672	true	Empty	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Dictyostelium discoideum GN=ndufs7 PE=3 SV=1	sp|Q54NI6|NDUS7_DICDI		20 kDa		unknown	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3
1673	true	Empty	50S ribosomal protein L18.	sp|P0C018|RL18_ECOLI		13 kDa	true	unknown	0	0	3	0	0	0	0	0	0	3	0	0	1	2	1	0
1674	true	Empty	Peptidase M41, FtsH domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284249 PE=4 SV=1	tr|Q54PX1|Q54PX1_DICDI		86 kDa	true	unknown	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
1675	true	Empty	Periplasmic oligopeptide-binding protein	sp|P23843|OPPA_ECOLI		61 kDa		unknown	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0
1676	true	Empty	Probable ubiquitin-conjugating enzyme E2 variant OS=Dictyostelium discoideum GN=ube2v PE=3 SV=1	sp|Q54D06|UBE2V_DICDI		15 kDa	true	unknown	1	1	3	0	3	0	0	0	0	2	0	0	0	0	2	3
1677	true	Empty	Fructose-1,6-bisphosphatase class II glp	sp|P0A9C9|GLPX_ECOLI		36 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
1678	true	Empty	Thioredoxin-2 (Fragment) OS=Dictyostelium discoideum GN=trxB PE=3 SV=1	sp|P29446|THIO2_DICDI		10 kDa	true	unknown	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	2
1679	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169442 PE=4 SV=1	tr|Q75JN4|Q75JN4_DICDI		35 kDa	true	unknown	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1680	true	Empty	P-type ATPase OS=Dictyostelium discoideum GN=DDB_0190219 PE=4 SV=1	tr|Q55E61|Q55E61_DICDI		148 kDa	true	unknown	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0
1681	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185678 PE=4 SV=1	tr|Q54QK5|Q54QK5_DICDI		80 kDa	true	unknown	0	1	0	0	3	2	1	0	0	1	0	1	0	0	0	0
1682	true	Empty	FKBP-type peptidyl-prolyl cis-trans isom	sp|P0A9K9|SLYD_ECOLI		21 kDa		unknown	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0
1683	true	Empty	Ribosomal protein S2, mitochondrial OS=Dictyostelium discoideum GN=mrps2 PE=3 SV=1	sp|Q9XPI7|RT02_DICDI		28 kDa	true	unknown	1	1	1	0	0	0	2	0	0	1	0	1	0	0	1	2
1684	true	Empty	Peroxisomal membrane protein 11 homolog OS=Dictyostelium discoideum GN=pex11 PE=3 SV=1	sp|Q54H86|PEX11_DICDI		29 kDa	true	unknown	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1
1685	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191041 PE=4 SV=1	tr|Q55BP9|Q55BP9_DICDI		76 kDa	true	unknown	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	1
1686	true	Empty	Putative uncharacterized protein empD OS=Dictyostelium discoideum GN=empD PE=2 SV=1	tr|Q769F6|Q769F6_DICDI		25 kDa		unknown	1	1	0	0	1	1	4	0	0	0	1	1	0	0	1	2
1687	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167842 PE=4 SV=1	tr|Q86J14|Q86J14_DICDI		35 kDa	true	unknown	1	1	0	0	1	1	1	0	0	1	0	0	0	0	2	2
1688	true	Empty	Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188841 PE=3 SV=1	tr|Q54G79|Q54G79_DICDI		34 kDa	true	unknown	0	0	0	0	1	3	1	0	0	1	1	2	2	0	2	2
1689	true	Empty	Lipoprotein 34 precursor.	sp|P0A903|NLPB_ECOLI		37 kDa		unknown	0	0	0	3	0	0	1	0	0	0	1	2	0	0	1	1
1690	true	Empty	NOL1/NOP2/Sun family protein OS=Dictyostelium discoideum GN=DDB_G0295715 PE=4 SV=1	tr|C7G024|C7G024_DICDI		87 kDa		unknown	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3
1691	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217219 PE=3 SV=1	tr|Q557E6|Q557E6_DICDI		39 kDa		unknown	0	0	0	0	0	2	0	0	0	3	2	1	0	0	3	0
1692	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187414 PE=4 SV=1	tr|Q54KJ2|Q54KJ2_DICDI		177 kDa	true	unknown	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1
1693	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190649 PE=4 SV=1	tr|Q55CV0|Q55CV0_DICDI		26 kDa		unknown	0	0	0	0	0	0	2	0	0	5	0	0	0	0	1	2
1694	true	Empty	Stress-activated protein kinase alpha OS=Dictyostelium discoideum GN=spkA-1 PE=1 SV=1	sp|Q86AT8|SPKA_DICDI		73 kDa	true	unknown	0	1	0	0	1	1	0	1	0	2	3	0	0	0	0	1
1695	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203385 PE=4 SV=1	tr|Q54ZK3|Q54ZK3_DICDI		123 kDa	true	unknown	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2
1696	true	Empty	tRNA pseudouridine synthase D OS=Dictyostelium discoideum GN=pus7 PE=4 SV=1	tr|Q86JH5|Q86JH5_DICDI		83 kDa	true	unknown	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	3
1697	true	Empty	30S ribosomal protein S20.	sp|P0A7U7|RS20_ECOLI		10 kDa		unknown	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1698	true	Empty	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=bkdA PE=3 SV=1	sp|Q54M22|ODBA_DICDI		50 kDa	true	unknown	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	2
1699	true	Empty	Mo25-like family protein OS=Dictyostelium discoideum GN=DDB_G0284307 PE=4 SV=1	tr|C7G028|C7G028_DICDI		42 kDa	true	unknown	0	1	0	0	2	0	0	0	0	3	0	0	0	0	1	2
1700	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185786 PE=4 SV=1	tr|Q54QA5|Q54QA5_DICDI		90 kDa	true	unknown	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0
1701	true	Empty	Probable serine racemase OS=Dictyostelium discoideum GN=srr PE=3 SV=1	sp|Q54HH2|SRR_DICDI		35 kDa	true	unknown	0	0	1	0	0	0	0	0	0	5	0	0	0	0	4	2
1702	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206334 PE=4 SV=1	tr|Q54W55|Q54W55_DICDI		46 kDa	true	unknown	1	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0
1703	true	Empty	Carboxymethylenebutenolidase homolog OS=Dictyostelium discoideum GN=cmbl PE=3 SV=1	sp|Q54MZ9|CMBL_DICDI		29 kDa	true	unknown	0	0	3	0	1	0	0	0	0	2	0	0	0	0	1	0
1704	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205475 PE=4 SV=1	tr|Q54Y17|Q54Y17_DICDI		61 kDa	true	unknown	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1705	true	Empty	Calponin homology domain-containing protein DDB_G0272472 OS=Dictyostelium discoideum GN=DDB_G0272472 PE=4 SV=1	sp|Q75JP5|Y2471_DICDI		174 kDa	true	unknown	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4
1706	true	Empty	Phox domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289833 PE=1 SV=1	tr|Q54GY1|Q54GY1_DICDI		22 kDa	true	unknown	0	0	0	0	1	1	0	0	0	2	1	0	0	0	3	0
1707	true	Empty	Phospho-2-dehydro-3-deoxyheptonate aldol	sp|P0AB91|AROG_ECOLI		38 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
1708	true	Empty	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Dictyostelium discoideum GN=adhfe1 PE=3 SV=1	sp|Q54GJ7|HOT_DICDI		60 kDa	true	unknown	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1
1709	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218001 PE=4 SV=1	tr|Q54ZE2|Q54ZE2_DICDI		166 kDa	true	unknown	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0
1710	true	Empty	Copine-C OS=Dictyostelium discoideum GN=cpnC PE=2 SV=1	sp|Q54P51|CPNC_DICDI		60 kDa	true	unknown	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
1711	true	Empty	Formate dehydrogenase-O, iron-sulfur sub	sp|P0AAJ5|FDOH_ECOLI		33 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0
1712	true	Empty	Catabolite gene activator (cAMP receptor	sp|P0ACJ8|CRP_ECOLI		24 kDa		unknown	0	0	0	0	0	0	0	0	0	0	2	2	1	3	0	0
1713	true	Empty	Uncharacterized mitochondrial protein 30 OS=Dictyostelium discoideum GN=DidioMp30 PE=4 SV=1	sp|O21034|MP30_DICDI		23 kDa	true	unknown	3	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0
1714	true	Empty	Regulator of chromosome condensation domain-containing protein OS=Dictyostelium discoideum GN=DDB_0184460 PE=4 SV=1	tr|Q54D12|Q54D12_DICDI		50 kDa		unknown	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1715	true	Empty	Probable coatomer subunit zeta-A OS=Dictyostelium discoideum GN=copza PE=3 SV=1	sp|Q54HD4|COPZA_DICDI		20 kDa	true	unknown	2	2	1	0	1	0	0	0	0	1	1	1	0	0	2	0
1716	true	Empty	Diphthine synthase OS=Dictyostelium discoideum GN=dph5 PE=3 SV=1	sp|Q75JG8|DPH5_DICDI		31 kDa	true	unknown	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	2
1717	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205464 PE=4 SV=1	tr|Q54Y28|Q54Y28_DICDI		93 kDa		unknown	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	2
1718	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0269740 PE=4 SV=1	tr|Q55D91|Q55D91_DICDI		84 kDa		unknown	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1
1719	true	Empty	Probable H/ACA ribonucleoprotein complex subunit 1 OS=Dictyostelium discoideum GN=gar1 PE=3 SV=1	sp|Q54XE6|GAR1_DICDI		22 kDa	true	unknown	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1720	true	Empty	Probable mitochondrial 2-oxodicarboxylate carrier OS=Dictyostelium discoideum GN=mcfT PE=3 SV=1	sp|Q55GE2|ODC_DICDI		32 kDa		unknown	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1721	true	Empty	RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0291155 PE=1 SV=1	tr|Q54F26|Q54F26_DICDI		34 kDa		unknown	1	1	1	0	3	1	0	0	0	1	0	1	0	0	1	0
1722	true	Empty	NADH-quinone oxidoreductase chain G (EC	sp|P33602|NUOG_ECOLI		100 kDa	true	unknown	1	1	0	0	0	0	2	0	0	0	3	0	0	1	0	0
1723	true	Empty	Deoxyhypusine hydroxylase OS=Dictyostelium discoideum GN=dohh-1 PE=3 SV=1	sp|Q556G4|DOHH_DICDI		35 kDa	true	unknown	0	1	0	0	2	1	0	0	0	2	0	0	0	0	0	2
1724	true	Empty	NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_0187393 PE=1 SV=1	tr|Q54KL2|Q54KL2_DICDI		38 kDa		unknown	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0
1725	true	Empty	Putative protein disulfide-isomerase DDB_G0275025 OS=Dictyostelium discoideum GN=DDB_G0275025 PE=1 SV=1	sp|Q869Z0|Y5025_DICDI		47 kDa	true	unknown	0	1	0	0	1	1	3	0	0	2	0	0	0	0	2	0
1726	true	Empty	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 OS=Dictyostelium discoideum GN=stt3 PE=3 SV=1	sp|Q54NM9|STT3_DICDI		81 kDa	true	unknown	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0
1727	true	Empty	Putative uncharacterized protein aqr OS=Dictyostelium discoideum GN=aqr PE=4 SV=1	tr|Q555Z2|Q555Z2_DICDI		173 kDa	true	unknown	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0
1728	true	Empty	Translation initiation factor eIF-2B subunit alpha OS=Dictyostelium discoideum GN=eif2b1 PE=3 SV=1	sp|Q54I81|EI2BA_DICDI		36 kDa	true	unknown	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	2
1729	true	Empty	Lipoprotein yfgL precursor.	sp|P77774|YFGL_ECOLI		42 kDa		unknown	0	0	3	3	0	0	0	0	0	0	2	2	0	0	2	0
1730	true	Empty	UDP-sugar-dependent glycosyltransferase 52 OS=Dictyostelium discoideum GN=ugt52 PE=2 SV=1	sp|Q54IL5|UGT52_DICDI		191 kDa	true	unknown	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
1731	true	Empty	EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0270718 PE=4 SV=1	tr|C7FZX1|C7FZX1_DICDI		158 kDa	true	unknown	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1
1732	true	Empty	Thioredoxin fold domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0272418 PE=4 SV=1	tr|B0G106|B0G106_DICDI		15 kDa		unknown	2	2	2	0	1	0	0	0	0	3	0	1	0	0	2	2
1733	true	Empty	Biosynthetic arginine decarboxylase (EC	sp|P21170|SPEA_ECOLI		74 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0
1734	true	Empty	Immunoglobulin E-set domain-containing protein OS=Dictyostelium discoideum GN=tgrK1 PE=4 SV=1	rtr|Q55AU2|Q55AU2_DICDI		99 kDa	true	unknown	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1735	true	Empty	Extracellular signal-regulated kinase 2 OS=Dictyostelium discoideum GN=erkB PE=2 SV=1	sp|Q54QB1|ERK2_DICDI		42 kDa		unknown	0	0	0	0	2	3	0	0	0	2	2	1	0	0	1	0
1736	true	Empty	Casein kinase II subunit alpha OS=Dictyostelium discoideum GN=casK PE=2 SV=1	sp|Q02720|CSK2A_DICDI		40 kDa	true	unknown	0	1	0	0	0	1	3	0	0	1	1	1	0	0	0	0
1737	true	Empty	Charged multivesicular body protein 1 OS=Dictyostelium discoideum GN=chmp1 PE=3 SV=1	sp|O96552|CHMP1_DICDI		22 kDa		unknown	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
1738	true	Empty	60S ribosomal protein L31 OS=Dictyostelium discoideum GN=rpl31 PE=3 SV=1	sp|Q54XB5|RL31_DICDI		13 kDa		unknown	0	0	1	0	1	0	0	0	0	2	0	0	0	2	1	1
1739	true	Empty	50S ribosomal protein L16.	sp|P0ADY7|RL16_ECOLI		15 kDa		unknown	0	1	2	1	0	0	0	0	0	1	1	1	0	2	0	0
1740	true	Empty	RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=u2af2 PE=4 SV=1	tr|Q54LV5|Q54LV5_DICDI		75 kDa		unknown	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0
1741	true	Empty	Transformer-2 protein homolog OS=Dictyostelium discoideum GN=tra2 PE=3 SV=1	sp|Q54Y98|TRA2_DICDI		37 kDa	true	unknown	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4
1742	true	Empty	Enoyl-CoA hydratase/isomerase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187604 PE=4 SV=1	tr|Q54JY1|Q54JY1_DICDI		48 kDa		unknown	0	0	1	0	2	2	4	1	0	1	0	0	0	0	1	0
1743	true	Empty	Cytochrome b OS=Dictyostelium discoideum GN=cytB PE=3 SV=1	sp|Q37311|CYB_DICDI		44 kDa	true	unknown	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
1744	true	Empty	Pre-mRNA-processing factor 19 homolog OS=Dictyostelium discoideum GN=prp19 PE=3 SV=1	sp|Q7KWK5|PRP19_DICDI		57 kDa	true	unknown	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0
1745	true	Empty	Ribosomal protein S8, mitochondrial OS=Dictyostelium discoideum GN=mrps8 PE=3 SV=1	sp|O21036|RT08_DICDI		17 kDa	true	unknown	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1746	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203213 PE=4 SV=1	tr|Q555E5|Q555E5_DICDI		55 kDa		unknown	0	0	4	0	0	0	3	0	0	1	1	0	0	0	0	0
1747	true	Empty	N-acetyltransferase 5 homolog OS=Dictyostelium discoideum GN=nat5 PE=3 SV=2	sp|Q8SSN5|NAT5_DICDI		20 kDa		unknown	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1748	true	Empty	Glutamate/aspartate periplasmic-binding	sp|P37902|GLTI_ECOLI		33 kDa		unknown	0	0	0	2	0	8	0	0	0	0	0	0	0	1	1	0
1749	true	Empty	Eukaryotic translation initiation factor 2A OS=Dictyostelium discoideum GN=eif2a PE=3 SV=1	sp|Q54PV7|EIF2A_DICDI		68 kDa		unknown	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
1750	true	Empty	40S ribosomal protein S27a OS=Dictyostelium discoideum GN=ubqC PE=3 SV=1	sp|P14797|RS27A_DICDI		9 kDa		unknown	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0
1751	true	Empty	tRNA pseudouridylate synthase OS=Dictyostelium discoideum GN=pus1 PE=4 SV=1	tr|Q54FA0|Q54FA0_DICDI		68 kDa	true	unknown	0	1	1	0	2	1	0	0	0	1	2	0	0	0	0	0
1752	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167338 PE=4 SV=1	tr|Q869L9|Q869L9_DICDI		51 kDa		unknown	1	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0
1753	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216772 PE=4 SV=1	tr|Q55BQ2|Q55BQ2_DICDI		35 kDa	true	unknown	0	0	0	0	1	0	1	0	0	2	0	0	0	1	1	1
1754	true	Empty	Glycogen synthase kinase-3 OS=Dictyostelium discoideum GN=gskA PE=1 SV=2	sp|P51136|GSK3_DICDI		51 kDa	true	unknown	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0
1755	true	Empty	Probable DNA topoisomerase 2 OS=Dictyostelium discoideum GN=top2 PE=3 SV=1	sp|Q55BP5|TOP2_DICDI		171 kDa	true	unknown	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
1756	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201900 PE=4 SV=1	tr|Q55CT9|Q55CT9_DICDI		34 kDa		unknown	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0
1757	true	Empty	tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit trm6 OS=Dictyostelium discoideum GN=trmt6 PE=3 SV=1	sp|Q54UB1|TRM6_DICDI		58 kDa		unknown	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1758	true	Empty	Peptidase B (EC 3.4.11.23) (Aminopeptida	sp|P37095|PEPB_ECOLI		46 kDa		unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
1759	true	Empty	Serine/threonine-protein kinase pakA OS=Dictyostelium discoideum GN=pakA PE=1 SV=1	rsp|Q55D99|PAKA_DICDI		135 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
1760	true	Empty	2-dehydro-3-deoxyphosphooctonate aldolas	sp|P0A715|KDSA_ECOLI		31 kDa	true	unknown	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0
1761	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217591 PE=4 SV=1	tr|Q554M4|Q554M4_DICDI		21 kDa		unknown	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
1762	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185839 PE=4 SV=1	tr|Q54Q52|Q54Q52_DICDI		26 kDa		unknown	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
1763	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217047 PE=4 SV=1	tr|Q559G7|Q559G7_DICDI		163 kDa	true	unknown	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0
1764	true	Empty	Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184446 PE=4 SV=1	tr|Q54D27|Q54D27_DICDI		40 kDa		unknown	0	1	1	0	2	2	2	1	0	0	0	0	0	2	0	1
1765	true	Empty	DUF255 family protein OS=Dictyostelium discoideum GN=DDB_0202012 PE=4 SV=1	tr|Q55BX2|Q55BX2_DICDI		95 kDa	true	unknown	0	2	0	0	1	3	0	0	0	3	0	0	0	0	0	0
1766	true	Empty	Glutathione S-transferase domain-containing protein DDB_G0274705 OS=Dictyostelium discoideum GN=DDB_G0274705 PE=3 SV=3	sp|Q555N6|Y4705_DICDI		30 kDa	true	unknown	2	2	0	0	2	1	0	0	0	1	2	0	0	0	0	0
1767	true	Empty	Pantoate--beta-alanine ligase OS=Dictyostelium discoideum GN=panC PE=3 SV=1	sp|Q54I80|PANC_DICDI		34 kDa	true	unknown	0	0	0	0	0	1	1	0	0	3	0	0	0	0	1	0
1768	true	Empty	60S ribosomal protein L2, mitochondrial OS=Dictyostelium discoideum GN=mrpl2 PE=3 SV=1	sp|Q23888|RM02_DICDI		30 kDa	true	unknown	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1769	true	Empty	NADH:flavin oxidoreductase/NADH oxidase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187621 PE=4 SV=1	tr|Q54JW3|Q54JW3_DICDI		49 kDa	true	unknown	2	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0
1770	true	Empty	Cullin-3 OS=Dictyostelium discoideum GN=culC PE=3 SV=1	sp|Q54NZ5|CUL3_DICDI		89 kDa		unknown	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0
1771	true	Empty	30S ribosomal protein S10.	sp|P0A7R5|RS10_ECOLI		12 kDa		unknown	0	0	3	0	0	0	0	0	0	0	1	0	0	3	2	0
1772	true	Empty	Ras-related protein Rab-32C OS=Dictyostelium discoideum GN=rab32C PE=3 SV=2	sp|Q8MXQ2|RB32C_DICDI		26 kDa	true	unknown	0	0	0	0	1	2	1	0	0	2	0	0	0	0	2	0
1773	true	Empty	2-amino-3-ketobutyrate coenzyme A ligase	sp|P0AB77|KBL_ECOLI		43 kDa		unknown	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0
1774	true	Empty	Putative uncharacterized protein (Fragment) OS=Dictyostelium discoideum GN=DDB_G0287257 PE=4 SV=1	tr|Q54KM5|Q54KM5_DICDI		56 kDa		unknown	0	0	2	0	2	0	0	0	0	0	0	0	0	4	0	0
